status	key	command
Composition	Hiragana	InputModeHiragana
Conversion	Hiragana	InputModeHiragana
Precomposition	Hiragana	InputModeHiragana
Composition	Home	MoveCursorToBeginning
Conversion	Home	SegmentFocusFirst
Composition	Kanji	IMEOff
Conversion	Kanji	IMEOff
Precomposition	Kanji	IMEOff
DirectInput	Kanji	IMEOn
DirectInput	Katakana	IMEOn
Composition	Katakana	InputModeFullKatakana
Conversion	Katakana	InputModeFullKatakana
Precomposition	Katakana	InputModeFullKatakana
Composition	Left	MoveCursorLeft
Conversion	Left	SegmentFocusLeft
Precomposition	Muhenkan	InputModeSwitchKanaType
Composition	Muhenkan	SwitchKanaType
Conversion	Muhenkan	SwitchKanaType
Composition	OFF	IMEOff
Conversion	OFF	IMEOff
Precomposition	OFF	IMEOff
Composition	ON	IMEOn
Conversion	ON	IMEOn
DirectInput	ON	IMEOn
Precomposition	ON	IMEOn
Conversion	PageDown	ConvertNextPage
Conversion	PageUp	ConvertPrevPage
Composition	Right	MoveCursorRight
Conversion	Right	SegmentFocusRight
Composition	Shift Backspace	Backspace
Conversion	Shift Backspace	Cancel
Conversion	Shift Down	ConvertNextPage
Composition	Shift ESC	Cancel
Conversion	Shift ESC	Cancel
Suggestion	Shift Enter	CommitFirstSuggestion
Conversion	Shift Henkan	ConvertPrev
Composition	Shift Left	MoveCursorLeft
Conversion	Shift Left	SegmentWidthShrink
Composition	Shift Muhenkan	ConvertToFullAlphanumeric
Conversion	Shift Muhenkan	ConvertToFullAlphanumeric
Precomposition	Shift Muhenkan	ToggleAlphanumericMode
Composition	Shift Right	MoveCursorRight
Conversion	Shift Right	SegmentWidthExpand
Composition	Shift Space	Convert
Conversion	Shift Space	ConvertPrev
Precomposition	Shift Space	InsertAlternateSpace
Conversion	Shift Tab	ConvertPrev
Conversion	Shift Up	ConvertPrevPage
Composition	Space	Convert
Conversion	Space	ConvertNext
Precomposition	Space	InsertSpace
Composition	Tab	PredictAndConvert
Conversion	Tab	PredictAndConvert
Conversion	Up	ConvertPrev
